Trial,RunNumber,TrialOnset,CueType,CueOffset,FixationDuration,FixationOnset,Calibration,TargetOnset,ReactionTime,FeedbackOnset,FeedbackValue,TrialEnd,OriginalITI,ExcessTime,AdjustedITI,IsWin,EndITItime,EarlyHit,CumulativeBlockTotal,TriggerTimestamp,LeadInStart,LeadOut
47,2,21.0219487119466,4,23.030298396945,4,23.0461691489909,0.28,27.0508167399676,0.360258634027559,28.0709396129823,-7,30.0802711089491,4,0.0715037829941139,3.92849621700589,0,34.0089475509594,0,-7,264082.630216355,0.029716215969529,NaN
48,2,34.0195404389524,1,36.0303323079715,1.5,36.0458382149809,0.28,37.5538907349692,0.785186391032767,38.5640760399983,-1,40.5802588859806,4,0.0714913649717346,3.92850863502827,0,44.5089771809871,0,-8,264082.630216355,0.029716215969529,NaN
49,2,44.5196139209438,5,46.5303446139442,4.5,46.5456947700004,0.3,51.0510610209894,0.269814327009954,52.0676290749689,0,54.0799809889868,6,0.0712136409711093,5.92878635902889,1,60.009396073001,0,-8,264082.630216355,0.029716215969529,NaN
50,2,60.0203297759872,6,62.0297090999666,3.5,62.0453261729563,0.3,65.5538100839476,0.294604602036998,66.5663114069612,1,68.5790789359598,6,0.070314540003892,5.92968545999611,1,74.5089491399704,0,-7,264082.630216355,0.029716215969529,NaN
51,2,74.5198004489648,7,76.5295753079699,4.5,76.5453518999857,0.3,81.0536202649819,0.328222444979474,82.0624460049439,0,84.0794387519709,6,0.0706734560080804,5.92932654399192,0,90.0093172019697,0,-7,264082.630216355,0.029716215969529,NaN
52,2,90.0192591639934,4,92.0298385179485,5,92.0451042579953,0.32,97.0510063699912,0.275585716008209,98.0692058709683,0,100.078427117958,6,0.0696618329966441,5.93033816700336,1,106.009320489946,0,-7,264082.630216355,0.029716215969529,NaN
53,2,106.020215642988,8,108.029699921957,2.5,108.044795213966,0.32,110.547103130957,0.284905980981421,111.568685113976,5,113.578317718988,4,0.0695511009544134,3.93044889904559,1,117.510057768959,0,-2,264082.630216355,0.029716215969529,NaN
54,2,117.521101061953,2,119.528486369993,2,119.544695311983,0.32,121.546003529977,0.865669839025941,122.569849870983,-3,124.57928164897,2,0.070513951999601,1.9294860480004,0,126.509020062978,0,-5,264082.630216355,0.029716215969529,NaN
55,2,126.52011726395,6,128.529157126963,3.5,128.544681923988,0.34,132.047046653985,0.300393906014506,133.068772715982,1,135.078816166962,4,0.0700508569716476,3.92994914302835,1,139.009863842977,0,-4,264082.630216355,0.029716215969529,NaN
56,2,139.021118680947,10,141.029847489961,2.5,141.044587760989,0.34,143.545271188952,0.268005879013799,144.561395641998,9,146.578720527992,2,0.0699561240035109,1.93004387599649,1,148.509830141964,0,5,264082.630216355,0.029716215969529,NaN
57,2,148.520776629972,9,150.528817229962,3,150.54445714195,0.34,153.549414515961,0.240637923008762,154.561010825972,7,156.577643809956,2,0.0688765489612706,1.93112345103873,1,158.509919717966,0,12,264082.630216355,0.029716215969529,NaN
58,2,158.520884650992,3,160.52851621795,2.5,160.54414805799,0.32,163.046610274992,0.231835749000311,164.068965168961,0,166.078779916978,6,0.0700125629664399,5.92998743703356,1,172.009634082962,0,12,264082.630216355,0.029716215969529,NaN
59,2,172.020440879976,1,174.028653392976,3,174.043859451951,0.3,177.049687634979,0.231789130019024,178.066894543997,0,180.077680907969,4,0.0689121169853024,3.9310878830147,1,184.009601624974,0,12,264082.630216355,0.029716215969529,NaN
60,2,184.019394897972,5,186.027675913996,2,186.044000081951,0.28,188.05162289599,0.234760279010516,189.066646023944,0,191.077209072944,2,0.0684438779717311,1.93155612202827,1,193.009559696948,0,12,264082.630216355,0.029716215969529,NaN
61,2,193.020108389959,6,195.027692372969,1.5,195.043690384948,0.26,196.548322246992,0.368000709975604,197.564333476999,0,199.578292124963,4,0.0695269759744406,3.93047302402556,0,203.508912772988,0,12,264082.630216355,0.029716215969529,NaN
62,2,203.519953620969,1,205.528130373976,1,205.543647754996,0.26,206.551863312954,-1,207.561720449943,-1,209.576988285,2,0.0682231530081481,1.93177684699185,0,211.508926720999,0,11,264082.630216355,0.029716215969529,NaN
63,2,211.52035643399,9,213.527735242969,1,213.543631881999,0.26,214.550373646955,0.312737692031078,215.562814996985,0,217.577138903958,4,0.0683736059581861,3.93162639404181,0,221.509330765984,0,11,264082.630216355,0.029716215969529,NaN
64,2,221.520374771964,4,223.528124525968,1.5,223.543339444965,0.28,225.043452162994,0.382952840009239,226.064395574969,-7,228.077815017954,4,0.0690476059680805,3.93095239403192,0,232.009514828969,0,4,264082.630216355,0.029716215969529,NaN
65,2,232.020289871958,10,234.027779386961,4.5,234.043153117993,0.3,238.544223922945,0.248850087053142,239.564878046978,9,241.577274625946,2,0.0685072579653934,1.93149274203461,1,243.509702981974,0,13,264082.630216355,0.029716215969529,NaN
66,2,243.520697744971,3,245.528693903994,4,245.542999303958,0.3,249.551100011973,0.283697300998028,250.565504111,0,252.576628081966,6,0.0678608739981428,5.93213912600186,1,258.510061836976,0,13,264082.630216355,0.029716215969529,NaN
67,2,258.520794349955,8,260.527924548951,5,260.542717762,0.3,265.546913515951,0.378072583000176,266.565050894977,0,268.576935697987,2,0.0681682779686525,1.93183172203135,0,270.508849179954,0,13,264082.630216355,0.029716215969529,NaN
68,2,270.519345622975,7,272.527197558957,2,272.542627941992,0.32,274.548048108991,0.232899599010125,275.561758446973,3,277.576848004945,2,0.0680805160081945,1.93191948399181,1,279.509667852952,0,16,264082.630216355,0.029716215969529,NaN
69,2,279.520325791964,2,281.527817528986,3,281.542384119995,0.32,284.545264046988,0.256027533032466,285.562477686966,0,287.576826967997,4,0.0680616750032641,3.93193832499674,1,291.509304102976,0,16,264082.630216355,0.029716215969529,NaN
70,2,291.519179413968,5,293.527780507982,3.5,293.542347215989,0.32,297.042502658966,0.217436809965875,298.061543720949,0,300.075725784991,6,0.0669613929931074,5.93303860700689,1,306.009026078973,0,16,264082.630216355,0.029716215969529,NaN
71,2,306.019747679995,9,308.027858880989,1.5,308.041962250951,0.32,309.545431035978,0.29368128196802,310.563332353951,7,312.575809831964,6,0.0669673059601337,5.93303269403987,1,318.509624075959,0,23,264082.630216355,0.029716215969529,NaN
72,2,318.520790201961,2,320.527112762968,5,320.542098595994,0.32,325.545175266976,0.412533599999733,326.567453450989,-3,328.575579293945,6,0.0668134409934282,5.93318655900657,0,334.509884902975,0,20,264082.630216355,0.029716215969529,NaN
73,2,334.520450229,1,336.526093585999,2,336.541765261965,0.34,338.543298088945,0.230816093971953,339.558585058956,0,341.576159232995,4,0.0673918210086413,3.93260817899136,1,345.509679856943,0,20,264082.630216355,0.029716215969529,NaN
